Code	Proposal	n1	n2	n3	year_pres	presented	published	presented_date	1st debate	pri_debate	2nd debate	seg_debate	Approval	Ex Signature	p_veto	published_data	Min de la Ley	Decree	Executive	MP	Party	Commission	Other	na	No. MPs	Multiple parties	Territory	t_pres_1deb	t_pres_2deb	Exe sign	t_pres_exe	t(pres-pub)	t(pres-pub)	t(1std-2ndd)	t(1std-exe)	t(1sd-pub)	t(2nd-exesign)	t(2nd-pub)	t(exesign-pub)	1erd	2nd	DiasGob	1/15/07	DiasGob2
115	Ley de depuración de la normativa legal no. 5	A1	P1	B2	2010	1	1	1/12/10	10/27/10	1	12/15/10	1	12/15/10	1/24/11	0	2/7/11	0	0	1	0	0	0	0	0			0	288	337	1/24/11	377	0	0	49	89	103	40	54	14	1	1	1484		1484
116	Ley de depuración de la normativa legal no. 6	A1	P1	B2	2010	1	1	1/12/10	1/13/11	1	3/10/11	1	3/10/11	4/6/11	0	4/20/11	0	0	1	0	0	0	0	0			0	366	422	4/6/11	449	0	0	56	83	97	27	41	14	1	1	1556		1556
117	Ley de depuración de la normativa legal no. 7	A1	P1	B2	2010	1	1	1/12/10	1/13/11	1	3/10/11	1	3/10/11	4/6/11	0	4/20/11	0	0	1	0	0	0	0	0			0	366	422	4/6/11	449	0	0	56	83	97	27	41	14	1	1	1556		1556
118	Ley de depuración de la normativa legal no. 9	A1	P1	B2	2010	1	1	1/12/10	6/21/11	1	7/26/11	1	7/26/11	8/9/11	0	8/25/11	0	0	1	0	0	0	0	0			0	525	560	8/9/11	574	0	0	35	49	65	14	30	16	1	1	1683		1683
119	Ley de depuración de la normativa legal no. 8	A1	P1	B2	2010	1	1	1/12/10	5/12/11	1	9/6/11	1	9/6/11	5/15/12	0	5/29/12	0	0	1	0	0	0	0	0			0	485	602	5/15/12	854	0	0	117	369	383	252	266	14	1	1	1961		1961
120	Ley orgánica de responsabilidad y mala práctica médica	A9	P0	B3	2010	1	0	1/13/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
121	Ley reformatoria al código penal y al código de procedimiento penal	A3	P0	B3	2010	1	0	1/18/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	324	 			0	0	 	 	 	 	 	 	1	0	-39097		0
122	Ley reformtoria al código orgánico de la función judicial	A7	P0	B3	2010	1	0	1/19/10	11/19/10	1	2/8/11	1	2/8/11	3/10/11	0			0	0	1	0	0	0	0	1	0	0	304	385	3/10/11	415	0	0	81	111	 	30	 	 	1	1	-39097		0
123	Ley orgánica reformatoria a la ley orgánica de transporte terrestre y seguridad vial	A1	P0	B3	2010	1	0	1/20/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
124	Ley orgánica de cooperación y coordinación entre la justicia indígena y justicia ordinaria	A3	P0	B3	2010	1	0	2/1/10	12/19/11	1								0	0	1	0	0	0	0	1	0	0	686	 			0	0	 	 	 	 	 	 	1	0	-39097		0
125	Ley reformatoria a la ley del anciano	A9	P0	B3	2010	1	0	2/4/10	2/2/12	1								0	0	1	0	0	0	0	1	0	0	728	 			0	0	 	 	 	 	 	 	1	0	-39097		0
126	Ley derogatoria al artículo 38 de la ley de migración y amnistía a ciudadanos haitianos	A6	P1	B2	2010	1	1	2/9/10	2/25/10	1	3/11/10	1	3/11/10	4/6/10	0	4/20/10	0	0	1	0	0	0	0	0			0	16	30	4/6/10	56	0	0	14	40	54	26	40	14	1	1	1191		1191
127	Ley interpretativa al decreto legislativo No 971	A1	P1	B3	2010	1	1	2/9/10	7/5/10	1	7/29/10	1	7/29/10		0	8/11/10		0	0	1	0	0	0	0	1	0	0	146	170			0	0	24	 	37	 	13	 	1	1	1304		1304
128	Ley reformatoria a la ley de seguridad social	A9	P1	B3	2010	1	1	2/9/10	7/13/10	1	10/1/10	1	10/1/10	11/14/10	0	11/18/10		0	0	1	0	0	0	0	1	0	0	154	234	11/14/10	278	0	0	80	124	128	44	48	4	1	1	1403		1403
129	"Ley reformatoria a la ley orgánica electoral, código de la democracia"	A7	P0	B3	2010	1	0	2/10/10	11/18/11	1	12/27/11	1	12/27/11					0	0	1	0	0	0	0	1	0	0	646	685			0	0	39	 	 	 	 	 	1	1	-39097		0
130	Ley de legalización de predios de moradores del cantón buena fe	A8	P0	B2	2010	1	0	2/20/10	5/2/12	1								0	1	0	0	0	0	0			1	802	 			0	0	 	 	 	 	 	 	1	0	-39097		0
131	Ley de creación promoción  y fomento de micro pequeñas y medianas industrias	A5	P0	B3	2010	1	0	3/1/10	12/14/11	1								0	0	1	0	0	0	0	1	0	0	653	 			0	0	 	 	 	 	 	 	1	0	-39097		0
132	"Ley reformatoria a la ley de seguridad social, en beneficio de las personas que realizan trabajo doméstico no remunerado"	A9	P0	B3	2010	1	0	3/9/10	7/13/10	1	10/1/10	1	10/1/10	11/14/10	0	11/18/10		0	0	1	0	0	0	0	1	0	0	126	206	11/14/10	250	0	0	80	124	128	44	48	4	1	1	1403		1403
133	Ley reformatoria a la ley de seguridad social	A9	P1	B3	2010	1	1	3/11/10	7/13/10	1	10/21/10	1	10/21/10	11/14/10	0	11/18/10		0	0	1	0	0	0	0	1	0	0	124	224	11/14/10	248	0	0	100	124	128	24	28	4	1	1	1403		1403
134	Ley de protección a la intimidad y a los datos personales	A3	P0	B3	2010	1	0	3/16/10	4/2/12	1								0	0	1	0	0	0	0	1	0	0	748	 			0	0	 	 	 	 	 	 	1	0	-39097		0
135	Ley orgánica de libertad e igualdad religiosa	A3	P0	B3	2010	1	0	3/16/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
136	Ley de bomberas y bomberos	A9	P0	B3	2010	1	0	3/16/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
137	Ley reformatoria al código penal	A3	P0	B3	2010	1	0	3/17/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	266	 			0	0	 	 	 	 	 	 	1	0	-39097		0
138	Ley reformatoria al código penal	A3	P0	B3	2010	1	0	3/17/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	266	 			0	0	 	 	 	 	 	 	1	0	-39097		0
139	Ley reformatoria al artículo 2 de la ley de maternidad gratuita	A9	P0	B3	2010	1	0	3/17/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
140	Ley de expropiación de tierras a favor de posesionarios en la troncal	A8	P0	B3	2010	1	0	3/18/10	5/2/12	1								0	0	1	0	0	0	0	1	0	1	776	 			0	0	 	 	 	 	 	 	1	0	-39097		0
141	Ley para la zonificación y ordenamiento forestal sostenible	A9	P0	B3	2010	1	0	3/22/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
142	Ley reformatoria a ley orgánica de transporte terrestre y seguridad vial	A1	P0	B3	2010	1	0	3/24/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
143	Ley reformatoria a la ley orgánica de régimen de soberanía alimentaria	A9	P1	B3	2010	1	1	3/30/10	5/6/10	1	10/12/10	1	10/12/10	11/10/10	1	12/27/10	0	0	0	1	0	0	0	0	1	0	0	37	196	11/10/10	225	0	0	159	188	235	29	76	47	1	1	1442		1442
144	Ley de desarrollo de los cantones fronterizos	A8	P0	B3	2010	1	0	3/30/10	3/25/11	1	1/31/12	1	1/31/12	2/25/12	0			0	0	1	0	0	0	0	1	0	1	360	672	2/25/12	697	0	0	312	337	 	25	 	 	1	1	-39097		0
145	Ley de condonación de intereses y multas a usuarios del servicio de agua del país	A9	P0	B3	2010	1	0	4/8/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
146	Ley reformatoria a la ley orgánica de la función legislativa	A7	P0	B3	2010	1	0	4/20/10	7/15/10	1	1/31/12	1	1/31/12	4/10/12	0			0	0	1	0	0	0	0	1	0	0	86	651	4/10/12	721	0	0	565	635	 	70	 	 	1	1	-39097		0
147	Ley del sector financiero popular y solidario	A5	P0	B3	2010	1	0	4/21/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
148	Ley orgánica de derechos linguísticos de los pueblos indígenas	A9	P0	B3	2010	1	0	5/4/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
149	Ley reformatoria a la ley de seguridad social	A9	P1	B3	2010	1	1	5/5/10	7/13/10	1	10/21/10	1	10/21/10	11/14/10	0	11/18/10	0	0	0	1	0	0	0	0	1	0	0	69	169	11/14/10	193	0	0	100	124	128	24	28	4	1	1	1403		1403
150	Ley reformatoria al título V libro II del código orgánico de la niñez y adolescencia	A9	P0	B3	2010	1	0	5/12/10	3/30/11	1								0	0	1	0	0	0	0	1	0	0	322	 			0	0	 	 	 	 	 	 	1	0	-39097		0
151	Ley reformatoria al artículo 328 del código orgánico de la función judicial	A7	P0	B3	2010	1	0	5/18/10	11/19/10	1	2/8/11	1	2/8/11	3/10/11	0			0	0	1	0	0	0	0	1	0	0	185	266	3/10/11	296	0	0	81	111	 	30	 	 	1	1	-39097		0
152	Ley reformatoria del artículos innumerado 5 de la ley que reforma el código orgánico de la niñez y la adolescencia	A9	P0	B3	2010	1	0	5/18/10	3/30/11	1								0	0	1	0	0	0	0	1	0	0	316	 			0	0	 	 	 	 	 	 	1	0	-39097		0
153	Ley reformatoria a la ley de seguridad social	A9	P0	B2	2010	1	0	5/21/10										0	1	0	0	0	0	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
154	Ley reformatoria a la ley de minería	A5	P0	B3	2010	1	0	5/26/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
155	Ley reformatoria al código penal que sanciona los delitos de usura	A3	P0	B3	2010	1	0	6/1/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	190	 			0	0	 	 	 	 	 	 	1	0	-39097		0
156	Ley reformatoria al artículo 32 de la ley de ejecución de penas	A3	P0	B3	2010	1	0	6/1/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
157	Ley de reforma a la ley de régimen tributario interno	A2	P0	B3	2010	1	0	6/1/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
158	Ley orgánica para el control del tabaco y sus efectos nocivos para su salud y derogatoria a la ley de defensa del consumidor	A9	P1	B3	2010	1	1	6/2/10	3/25/11	1	6/14/11	1	6/14/11	7/13/11	0	7/22/11	0	0	0	1	0	0	0	0	2	0	0	296	377	7/13/11	406	0	0	81	110	119	29	38	9	1	1	1649		1649
159	Ley de importación fabricación almacenamiento y transporte de armas	A9	P0	B3	2010	1	0	6/2/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
160	Ley reformatoria a la ley para reprimir el lavado de activos	A3	P1	B4	2010	1	1	6/3/10	9/2/10	1	11/5/10	1	11/5/10	12/1/10	1	12/30/10	0	0	0	0	0	0	1	0			0	91	155	12/1/10	181	0	0	64	90	119	26	55	29	1	1	1445		1445
161	Ley reformatoria al código penal	A3	P0	B3	2010	1	0	6/3/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	188	 			0	0	 	 	 	 	 	 	1	0	-39097		0
162	Ley reformatoria al código orgánico de la niñez y adolescencia	A9	P0	B3	2010	1	0	6/3/10	3/30/11	1								0	0	1	0	0	0	0	1	0	0	300	 			0	0	 	 	 	 	 	 	1	0	-39097		0
163	Ley reformatoria a la ley orgánica de la función legislativa	A7	P0	B3	2010	1	0	6/3/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
164	Ley reformatoria a la ley reformatoria de la ley de equidad tributaria	A2	P0	B3	2010	1	0	6/3/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
165	Ley que garantiza seguridad social a mujeres que realizan trabajo no remunerado	A9	P0	B3	2010	1	0	6/7/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
166	Ley orgánica reformatoria al artículo 164 de la codificación del código tributario	A2	P0	B3	2010	1	0	6/8/10	12/21/11	1								0	0	1	0	0	0	0	2	0	0	561	 			0	0	 	 	 	 	 	 	1	0	-39097		0
167	Ley para la reparación de las víctimas y judicialización de graves violaciones de ddhh	A3	P0	B3	2010	1	0	6/8/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
168	Ley reformatoria al código orgánico de la función judicial	A7	P0	B3	2010	1	0	6/9/10	11/19/10	1	2/8/11	1	2/8/11	3/10/11	0			0	0	1	0	0	0	0	1	0	0	163	244	3/10/11	274	0	0	81	111	 	30	 	 	1	1	-39097		0
169	Ley reformatoria a la ley reformatoria para la equidad tributaria	A2	P0	B3	2010	1	0	6/10/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
170	Ley orgánica de consulta a las comunas comunidades y pueblos del ecuador	A9	P0	B3	2010	1	0	6/10/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
171	Ley de fomento y desarrollo del sector cacaotero	A5	P0	B3	2010	1	0	6/14/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
172	Ley que prohibe el consumo de tabaco y cigarrillos en lugares púbicos	A9	P1	B3	2010	1	1	6/15/10	3/25/11	1	6/14/11	1	6/14/11	7/13/11	0	7/22/11	0	0	0	1	0	0	0	0	1	0	0	283	364	7/13/11	393	0	0	81	110	119	29	38	9	1	1	1649		1649
173	Ley reformatoria para la tipificación del delito de sicariato	A3	P0	B3	2010	1	0	6/16/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	175	 			0	0	 	 	 	 	 	 	1	0	-39097		0
174	Ley reformatoria al código penal	A3	P0	B3	2010	1	0	6/16/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	175	 			0	0	 	 	 	 	 	 	1	0	-39097		0
175	Ley reformatoria a la ley especial del sector cafetalero	A5	P0	B3	2010	1	0	6/21/10	1/4/12	1								0	0	1	0	0	0	0	1	0	0	562	 			0	0	 	 	 	 	 	 	1	0	-39097		0
176	Ley reformatoria a la ley de hidrocarburos	A5	P0	B3	2010	1	0	6/22/10	9/8/10	1								0	0	1	0	0	0	0	1	0	0	78	 			0	0	 	 	 	 	 	 	1	0	-39097		0
177	Ley reformatoria al código de la niñez y adolescencia	A9	P0	B3	2010	1	0	6/22/10	3/30/11	1								0	0	1	0	0	0	0	1	0	0	281	 			0	0	 	 	 	 	 	 	1	0	-39097		0
178	Ley reformatoria a la ley de hidrocarburos y ley de régimen tributario	A2	P0	B2	2010	1	0	6/24/10	7/8/10	1								0	1	0	0	0	0	0			0	14	 			0	0	 	 	 	 	 	 	1	0	-39097		0
179	Ley reformatoria de la ley de seguridad social	A9	P0	B3	2010	1	0	6/24/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
180	Ley reformatoria a la ley orgánica de la función legislativa	A7	P0	B3	2010	1	0	6/24/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
181	Ley reformatoria a la ley reformatoria a la ley de equidad tributaria	A2	P0	B3	2010	1	0	6/30/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
182	Ley reformatoria a la ley de hidrocarburos	A5	P0	B3	2010	1	0	6/30/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
183	Ley de legalización de terrenos a favor de moradores del cantón playas	A8	P0	B3	2010	1	0	7/1/10	10/13/10	1								0	0	1	0	0	0	0	1	0	1	104	 			0	0	 	 	 	 	 	 	1	0	-39097		0
184	Ley reformatoria al código penal y otros cuerpos legales	A3	P0	B3	2010	1	0	7/6/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	155	 			0	0	 	 	 	 	 	 	1	0	-39097		0
185	Ley para la reparación de las víctimas y judicialización de graves violaciones de ddhh	A3	P1	B4	2010	1	1	7/7/10	3/21/12	1	10/1/13	1	10/1/13	11/1/13	1	12/13/13		0	0	0	0	0	1	0			0	623	1182	11/1/13	1213	0	0	559	590	632	31	73	42	1	1	2524		2524
186	Ley orgánica reformatoria a la ley de conservación de galápagos	A8	P0	B3	2010	1	0	7/7/10	12/21/10	1								0	0	1	0	0	0	0	1	0	1	167	 			0	0	 	 	 	 	 	 	1	0	-39097		0
187	"Ley reformatoria al código penal, código de procedimiento penal y leyes conexas"	A3	P0	B2	2010	1	0	7/9/10	12/8/10	1								0	1	0	0	0	0	0			0	152	 			0	0	 	 	 	 	 	 	1	0	-39097		0
188	Ley de responsabilidad penal para los adolescentes infractores	A3	P0	B3	2010	1	0	7/14/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	147	 			0	0	 	 	 	 	 	 	1	0	-39097		0
189	Ley reformatoria al código de policía marítima	A1	P0	B3	2010	1	0	7/22/10	9/17/12	1								0	0	1	0	0	0	0	1	0	0	788	 			0	0	 	 	 	 	 	 	1	0	-39097		0
190	Ley reformatoria a la ley orgánica de la función legislativa	A7	P0	B3	2010	1	0	7/22/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
191	Ley de régimen de transición para elecciones legislativas	A7	P0	B3	2010	1	0	7/26/10	4/25/12	1								0	0	1	0	0	0	0	1	0	0	639	 			0	0	 	 	 	 	 	 	1	0	-39097		0
192	Ley reformatoria a la ley de hidrocarburos y ley de régimen tributario	A5	P0	B3	2010	1	0	7/29/10	9/8/10	1								0	0	1	0	0	0	0	1	0	0	41	 			0	0	 	 	 	 	 	 	1	0	-39097		0
193	"Ley reformatoria al código penal, código de la niñez y adolescencia, código de ejecución de penas"	A3	P0	B4	2010	1	0	7/30/10	11/19/10	1	2/8/11	1	2/8/11	3/10/11	0			0	0	0	0	0	1	0			0	112	193	3/10/11	223	0	0	81	111	 	30	 	 	1	1	-39097		0
194	Ley reformatoria a la ley de legalización de terrenos en huaquillas	A8	P1	B3	2010	1	1	8/2/10	10/13/10	1	11/3/10	1	11/3/10	12/29/10	0	1/10/11		0	0	1	0	0	0	0	1	0	1	72	93	12/29/10	149	0	0	21	77	89	56	68	12	1	1	1456		1456
195	Ley de reconocimiento a los héroes nacionales	A4	P1	B2	2010	1	1	8/3/10	10/28/10	1	1/13/11	1	1/13/11	2/20/11	1	3/9/11		0	1	0	0	0	0				0	86	163	2/20/11	201	0	0	77	115	132	38	55	17	1	1	1514		1514
196	Ley reformatoria a la ley de hidrocarburos	A5	P0	B3	2010	1	0	8/3/10	9/8/10	1								0	0	1	0	0	0	0	1	0	0	36	 			0	0	 	 	 	 	 	 	1	0	-39097		0
197	Ley de creación de la universidad nacional de orellana	A8	P0	B3	2010	1	0	8/3/10										0	0	1	0	0	0	0	1	0	1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
198	Ley reformatoria a la ley de carrera docente y escalafón del magisterio nacional	A1	P0	B3	2010	1	0	8/3/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
199	Ley reformatoria a la ley de seguridad social	A9	P0	B3	2010	1	0	8/4/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
200	Ley que promueve una cultura de paz y desarrollo económico en los cantones fronterizos	A8	P0	B3	2010	1	0	8/9/10	3/25/11	1	1/31/12	1	1/31/12	2/25/12	0			0	0	1	0	0	0	0	1	0	1	228	540	2/25/12	565	0	0	312	337	 	25	 	 	1	1	-39097		0
201	Ley orgánica reformatoria a la ley del consejo de participación ciudadana y control social	A7	P0	B3	2010	1	0	8/10/10	9/22/10	1								0	0	1	0	0	0	0	1	0	0	43	 			0	0	 	 	 	 	 	 	1	0	-39097		0
202	Ley de creación del bono mensual de asistencia económica a adultos mayores	A9	P0	B3	2010	1	0	8/10/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
203	Ley sustitutiva al decreto legislativo 047	A1	P0	B3	2010	1	0	8/11/10	12/21/10	1								0	0	1	0	0	0	0	1	0	0	132	 			0	0	 	 	 	 	 	 	1	0	-39097		0
204	Ley Reformatoria al Código de Ejecución de Penas	A3	P0	B3	2010	1	0	8/31/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
205	Ley reformatoria a la ley orgánica de empresas públicas	A1	P0	B3	2010	1	0	9/1/10	1/11/12	1								0	0	1	0	0	0	0	1	0	0	497	 			0	0	 	 	 	 	 	 	1	0	-39097		0
206	Ley reformatoria a la ley orgánica de de régimen especial de conservación de galápagos	A8	P0	B3	2010	1	0	9/1/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
207	Ley reformatoria a la ley orgánica de transporte terrestre y seguridad vial	A1	P0	B3	2010	1	0	9/7/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
208	Ley derogatoria al artículo innumerados posterior al 233 del código tributario	A2	P0	B3	2010	1	0	9/7/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
209	Ley reformatoria al código penal y al código de procedimiento penal	A3	P0	B3	2010	1	0	9/14/10	12/8/10	1								0	0	1	0	0	0	0	1	0	0	85	 			0	0	 	 	 	 	 	 	1	0	-39097		0
210	Ley notarial	A1	P0	B3	2010	1	0	9/14/10	3/7/12	1								0	0	1	0	0	0	0	1	0	0	540	 			0	0	 	 	 	 	 	 	1	0	-39097		0
211	Ley orgánica reformatoria a la ley orgánica de régimen especial para la conservación de galápagos	A8	P0	B3	2010	1	0	9/14/10										0	0	1	0	0	0	0	1	0	1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
212	Ley reformatoria a la ley orgánica de transporte terrestre y seguridad vial	A1	P1	B3	2010	1	1	9/21/10	2/1/12	1	12/4/14	1	12/4/14	12/17/14	1			0	0	1	0	0	0	0	1	0	0	498	1535	12/17/14	1548	0	0	1037	1050	 	13	 	 	1	1	-39097		0
213	Ley reformatoria al código de procedimiento civil	A3	P0	B3	2010	1	0	9/22/10	5/2/12	1								0	0	1	0	0	0	0	1	0	0	588	 			0	0	 	 	 	 	 	 	1	0	-39097		0
214	Ley de creación de la universidad estatal regional kasama	A8	P0	B4	2010	1	0	9/23/10										0	0	0	0	0	0	1			1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
215	Ley reformatoria a la ley de propiedad horizontal	A1	P1	B3	2010	1	1	9/28/10	2/1/11	1	7/7/11	1	7/7/11	8/11/11	1	11/27/11	0	0	0	1	0	0	0	0	10	0	0	126	282	8/11/11	317	0	0	156	191	299	35	143	108	1	1	1777		1777
216	Ley reformatoria al código civil	A3	P0	B3	2010	1	0	9/28/10	2/23/12	1								0	0	1	0	0	0	0	14	0	0	513	 			0	0	 	 	 	 	 	 	1	0	-39097		0
217	"Ley reformatoria al código penal, tipificación de clonación de tarjetas"	A3	P0	B3	2010	1	0	9/28/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
218	Ley del sistema nacional de seguridad ciudadana	A9	P0	B3	2010	1	0	9/29/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
219	Ley reformatoria al código de procedimiento penal	A3	P0	B3	2010	1	0	9/30/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
220	Ley reformatoria al código penal	A3	P0	B3	2010	1	0	9/30/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
221	Ley reformatoria a la ley de servicio público	A1	P0	B3	2010	1	0	10/7/10	11/14/12	1								0	0	1	0	0	0	0	1	0	0	769	 			0	0	 	 	 	 	 	 	1	0	-39097		0
222	Ley de ahorro para contingencias	A5	P0	B3	2010	1	0	10/7/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
223	Ley  reformatoria a la ley orgánica de educación superior	A9	P0	B3	2010	1	0	10/7/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
224	Ley reformatoria al código de la niñez y adolescencia	A9	P0	B3	2010	1	0	10/11/10	7/12/11	1								0	0	1	0	0	0	0	1	0	0	274	 			0	0	 	 	 	 	 	 	1	0	-39097		0
225	Ley reformatoria a la ley orgánica de servicio público	A1	P0	B3	2010	1	0	10/11/10	11/14/12	1								0	0	1	0	0	0	0	1	0	0	765	 			0	0	 	 	 	 	 	 	1	0	-39097		0
226	Ley orgánica reformatoria al código orgánico de la función judicial	A7	P0	B4	2010	1	0	10/12/10										0	0	0	0	0	1	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
227	Ley reformatoria a la ley de seguridad social	A9	P0	B3	2010	1	0	10/14/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
228	Ley de fijación de los límites territoriales	A8	P1	B2	2010	1	1	10/20/10	10/24/11	1	2/26/13	1	2/26/13	3/28/13	1	4/16/13	0	0	1	0	0	0	0	0			0	369	860	3/28/13	890	0	0	491	521	540	30	49	19	1	1	2283		2283
229	Código orgánico de la producción e inversiones	A5	P	B2	2010	1	0	10/20/10										1	1	0	0	0	0	0			0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
230	Ley de comercialización fundición reciclaje y exportación de chatarra	A5	P0	B3	2010	1	0	10/21/10	2/1/12	1								0	0	1	0	0	0	0	1	0	0	468	 			0	0	 	 	 	 	 	 	1	0	-39097		0
231	Ley de fomento para el desarrollo económico de bolívar	A8	P0	B3	2010	1	0	10/26/10										0	0	1	0	0	0	0	1	0	1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
232	Reforma al artículo 39 de la ley orgánica de la contraloría	A7	P0	B3	2010	1	0	10/28/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
233	Ley para la extinción de la muerte financiera de las personas	A3	P0	B3	2010	1	0	10/28/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
234	Ley reformatoria al código de comercio	A5	P0	B3	2010	1	0	11/5/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
235	Ley orgánica reformatoria a la ley electoral y de organizaciones políticas	A7	P1	B3	2010	1	1	11/9/10	12/15/10	1	12/28/10	1	12/28/10	12/29/10	0	12/30/10	0	0	0	1	0	0	0	0	1	0	0	36	49	12/29/10	50	0	0	13	14	15	1	2	1	1	1	1445		1445
236	Ley orgánica de turismo	A5	P0	B3	2010	1	0	11/9/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
237	Ley reformatoria al código penal	A3	P0	B3	2010	1	0	11/10/10										0	0	1	0	0	0	0	1	0	0	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
238	Ley orgánica reformatoria a la ley orgánica para la conservación de galápagos	A8	P0	B3	2010	1	0	11/15/10										0	0	1	0	0	0	0	1	0	1	 	 			0	0	 	 	 	 	 	 	0	0	-39097		0
